"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "XML", "CSS", "SCSS", "Ruby", "Less", "comment", "blank", "total"
"c:\Users\Aquilae\proyectos\videotest\config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Aquilae\proyectos\videotest\handlers\api_functions\patientList.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\Aquilae\proyectos\videotest\handlers\api_functions\scorePatient.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 13, 24, 112
"c:\Users\Aquilae\proyectos\videotest\handlers\api_handler.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8
"c:\Users\Aquilae\proyectos\videotest\handlers\db_handler.js", "JavaScript", 215, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48, 269
"c:\Users\Aquilae\proyectos\videotest\handlers\modules\login-module-db.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 135
"c:\Users\Aquilae\proyectos\videotest\models\clinicaModel.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\Aquilae\proyectos\videotest\models\dermatoModel.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\Aquilae\proyectos\videotest\models\endocrinoModel.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\Aquilae\proyectos\videotest\models\patientModel.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\Aquilae\proyectos\videotest\package-lock.json", "JSON", 0, 1422, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1423
"c:\Users\Aquilae\proyectos\videotest\package.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Aquilae\proyectos\videotest\server.js", "JavaScript", 229, 0, 0, 0, 0, 0, 0, 0, 0, 14, 68, 311
"c:\Users\Aquilae\proyectos\videotest\todo.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 7, 22
"c:\Users\Aquilae\proyectos\videotest\videoclient\about.html", "HTML", 0, 0, 0, 478, 0, 0, 0, 0, 0, 35, 71, 584
"c:\Users\Aquilae\proyectos\videotest\videoclient\browserconfig.xml", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Aquilae\proyectos\videotest\videoclient\clinica.html", "HTML", 0, 0, 0, 41, 0, 0, 0, 0, 0, 3, 8, 52
"c:\Users\Aquilae\proyectos\videotest\videoclient\css\app.css", "CSS", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 34
"c:\Users\Aquilae\proyectos\videotest\videoclient\css\style.css", "CSS", 0, 0, 0, 0, 0, 1774, 0, 0, 0, 142, 277, 2193
"c:\Users\Aquilae\proyectos\videotest\videoclient\dermato.html", "HTML", 0, 0, 0, 41, 0, 0, 0, 0, 0, 3, 6, 50
"c:\Users\Aquilae\proyectos\videotest\videoclient\endocrino.html", "HTML", 0, 0, 0, 41, 0, 0, 0, 0, 0, 3, 9, 53
"c:\Users\Aquilae\proyectos\videotest\videoclient\images\icon\if_envelope-stats_1291753.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Aquilae\proyectos\videotest\videoclient\images\icon\if_glass-stats_1291748.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Aquilae\proyectos\videotest\videoclient\images\icon\if_price-tag_1291777.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Aquilae\proyectos\videotest\videoclient\images\icon\if_target_1291767.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Aquilae\proyectos\videotest\videoclient\index.html", "HTML", 0, 0, 0, 120, 0, 0, 0, 0, 0, 44, 42, 206
"c:\Users\Aquilae\proyectos\videotest\videoclient\js\app.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 77
"c:\Users\Aquilae\proyectos\videotest\videoclient\js\config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Aquilae\proyectos\videotest\videoclient\js\consultorioClinica.js", "JavaScript", 186, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33, 228
"c:\Users\Aquilae\proyectos\videotest\videoclient\js\consultorioDermato.js", "JavaScript", 184, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33, 225
"c:\Users\Aquilae\proyectos\videotest\videoclient\js\consultorioEndocrino.js", "JavaScript", 187, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30, 225
"c:\Users\Aquilae\proyectos\videotest\videoclient\js\jquery.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Aquilae\proyectos\videotest\videoclient\js\main.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37, 158
"c:\Users\Aquilae\proyectos\videotest\videoclient\js\telemed.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Aquilae\proyectos\videotest\videoclient\js\theme.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 81
"c:\Users\Aquilae\proyectos\videotest\videoclient\js\waitingroom.js", "JavaScript", 308, 0, 0, 0, 0, 0, 0, 0, 0, 15, 79, 402
"c:\Users\Aquilae\proyectos\videotest\videoclient\manifest.json", "JSON", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41
"c:\Users\Aquilae\proyectos\videotest\videoclient\pacienteClinica.html", "HTML", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\Aquilae\proyectos\videotest\videoclient\pacienteDermato.html", "HTML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Aquilae\proyectos\videotest\videoclient\pacienteEndocrino.html", "HTML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\animate-css\animate.css", "CSS", 0, 0, 0, 0, 0, 3055, 0, 0, 0, 11, 558, 3624
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\bootstrap\js\bootstrap.js", "JavaScript", 3262, 0, 0, 0, 0, 0, 0, 0, 0, 332, 842, 4436
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\bootstrap\js\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\bootstrap\js\popper.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\fontawesome\css\all.css", "CSS", 0, 0, 0, 0, 0, 2892, 0, 0, 0, 2, 1393, 4287
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\fontawesome\webfonts\fa-brands-400.svg", "XML", 0, 0, 0, 0, 3296, 0, 0, 0, 0, 0, 1, 3297
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\fontawesome\webfonts\fa-regular-400.svg", "XML", 0, 0, 0, 0, 799, 0, 0, 0, 0, 0, 1, 800
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\fontawesome\webfonts\fa-solid-900.svg", "XML", 0, 0, 0, 0, 4516, 0, 0, 0, 0, 0, 1, 4517
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\fonts\Pe-icon-7-stroke.css", "CSS", 0, 0, 0, 0, 0, 627, 0, 0, 0, 1, 4, 632
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\fonts\Pe-icon-7-stroke.svg", "XML", 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 212
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\form\contact.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 39
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\google-map\gmap3.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 10
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\jquery\jquery.easing.1.3.js", "JavaScript", 149, 0, 0, 0, 0, 0, 0, 0, 0, 70, 3, 222
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\jquery\jquery.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\slick-carousel\slick\config.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\slick-carousel\slick\fonts\slick.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\slick-carousel\slick\slick-theme.css", "CSS", 0, 0, 0, 0, 0, 170, 0, 0, 0, 4, 31, 205
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\slick-carousel\slick\slick-theme.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 152, 5, 12, 169
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\slick-carousel\slick\slick-theme.scss", "SCSS", 0, 0, 0, 0, 0, 0, 170, 0, 0, 9, 16, 195
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\slick-carousel\slick\slick.css", "CSS", 0, 0, 0, 0, 0, 104, 0, 0, 0, 1, 15, 120
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\slick-carousel\slick\slick.js", "JavaScript", 2119, 0, 0, 0, 0, 0, 0, 0, 0, 47, 846, 3012
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\slick-carousel\slick\slick.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 87, 1, 13, 101
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\slick-carousel\slick\slick.min.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\slick-carousel\slick\slick.scss", "SCSS", 0, 0, 0, 0, 0, 0, 87, 0, 0, 1, 13, 101
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\themify\css\themify-icons.css", "CSS", 0, 0, 0, 0, 0, 1077, 0, 0, 0, 1, 4, 1082
"c:\Users\Aquilae\proyectos\videotest\videoclient\plugins\themify\fonts\themify.svg", "XML", 0, 0, 0, 0, 362, 0, 0, 0, 0, 0, 0, 362
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\_color.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\_common.scss", "SCSS", 0, 0, 0, 0, 0, 0, 129, 0, 0, 9, 44, 182
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\_main.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\_media-query.scss", "SCSS", 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 0, 30
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 33, 0, 0, 7, 2, 42
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\_responsive.scss", "SCSS", 0, 0, 0, 0, 0, 0, 517, 0, 0, 13, 112, 642
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\_typography.scss", "SCSS", 0, 0, 0, 0, 0, 0, 78, 0, 0, 32, 20, 130
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 24, 45
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\templates\_about.scss", "SCSS", 0, 0, 0, 0, 0, 0, 35, 0, 0, 6, 10, 51
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\templates\_backgrounds.scss", "SCSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\templates\_blog.scss", "SCSS", 0, 0, 0, 0, 0, 0, 38, 0, 0, 3, 16, 57
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\templates\_contact.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 8, 39
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\templates\_footer.scss", "SCSS", 0, 0, 0, 0, 0, 0, 91, 0, 0, 6, 27, 124
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\templates\_header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 115, 0, 0, 12, 45, 172
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\templates\_navigation.scss", "SCSS", 0, 0, 0, 0, 0, 0, 119, 0, 0, 7, 37, 163
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\templates\_page-banner.scss", "SCSS", 0, 0, 0, 0, 0, 0, 48, 0, 0, 3, 10, 61
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\templates\_portfolio.scss", "SCSS", 0, 0, 0, 0, 0, 0, 125, 0, 0, 9, 30, 164
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\templates\_pricing.scss", "SCSS", 0, 0, 0, 0, 0, 0, 77, 0, 0, 6, 21, 104
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\templates\_process.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 4, 17
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\templates\_service.scss", "SCSS", 0, 0, 0, 0, 0, 0, 94, 0, 0, 6, 23, 123
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\templates\_slider.scss", "SCSS", 0, 0, 0, 0, 0, 0, 51, 0, 0, 6, 18, 75
"c:\Users\Aquilae\proyectos\videotest\videoclient\scss\templates\_testimonial.scss", "SCSS", 0, 0, 0, 0, 0, 0, 51, 0, 0, 6, 11, 68
"c:\Users\Aquilae\proyectos\videotest\videoclient\waitingroom.html", "HTML", 0, 0, 0, 162, 0, 0, 0, 0, 0, 42, 57, 261
"Total", "-", 7347, 1482, 15, 940, 9204, 9728, 1964, 8, 239, 1041, 5158, 37126